Topic,Count,Name,Representation,Representative_Docs
19,59,19_menlu_nya_gblk_apa,"['menlu', 'nya', 'gblk', 'apa', 'belum', 'menkeu', 'min', 'wo', 'gak', 'org']","['menlu berkata blm perlu wah malulah kaliannn udah separsh apa diaceh ituuu', 'menlu bisa apa', 'menlu nya bisa di aja gak']"
20,59,20_pak_sby_tdk_bpk,"['pak', 'sby', 'tdk', 'bpk', 'kami', 'keren', 'sat', 'set', 'klo', 'pake']","['kalo kasian beneran hrsnya ga usah dipilih biar ga jadi presiden biar di rumah main sm bobby aja apa ibadah nabung amalan gt atau minimal cari hobi santai ngelukis kek ky pak sby apa berkebun kebun taman rumah yak jgn kebun sawit', 'aduh kasian tp itu resiko kerjaan sih pak lagian udah umur segitu masih aja ambis jadi presiden mundur aja gimana perbanyak istirahat gitu tobat mendekatkan diri sama yang kuasa jangan sibuk ngurusin sawit mulu pak eh tapi tolong gantinya jangan yg plonga plongo ya pak', 'klw presiden menntn nnt prsdn telepon kdm hai kdm anda bicara jngn keras gitu bicaranya jngn nyindir km seakn kau lebih hebat dr pejuang ya apkh kau mau melwn kami ap kamu yg kami tenggelamkn ll kdm menjwb maaf pak tdk pak tdk berani sy pak itu kt sy bkn prsdnampkdm sy takut jg']"
21,58,21_kerja_yu_mulu_dikitdikit,"['kerja', 'yu', 'mulu', 'dikitdikit', 'rodi', 'bang', 'definisi', 'capek', 'ntar', 'ya']","['harus kerja ya', 'saatnya kerja kerja kerja', 'kerja']"
22,58,22_anggapan_bersumber_waspada_terlebih,"['anggapan', 'bersumber', 'waspada', 'terlebih', 'menilai', 'mengingatkan', 'narasi', 'suka', 'pihak', 'kekuatan']","['presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber', 'presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber', 'presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber']"
23,58,23_dg_jokowi_amsterdam_paris,"['dg', 'jokowi', 'amsterdam', 'paris', 'bersihkan', 'bertanya', 'diaspora', 'jawaban', 'sigit', 'orangorang']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu']"
24,57,24_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semoga', 'semangat']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
25,57,25_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
26,56,26_aku_mama_gua_kerja,"['aku', 'mama', 'gua', 'kerja', 'mamah', 'ku', 'ibu', 'kuliah', 'jam', 'ayah']","['dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
27,56,27_juga_lu_gak_masing,"['juga', 'lu', 'gak', 'masing', 'ya', 'sawit', 'nyuruh', 'aja', 'tuh', 'kayak']","['ga nyuruh jd presiden juga si', 'mengadi negeri gimana lu gak teges pas ada ruu kuhp disahkan lu gak teges pas bencana dan lu juga yang punya lahan sawit dengan luas hektar dan lu presiden dan punya sawit jujur gw takut qrt gini bentar gw gembokan dulu', 'gak ada yg nyuruh juga lu jadi presiden gausa ngeluh semua orang juga kerja tupoksi nya masing masing']"
28,55,28_suruh_siapa_jadi_dukung,"['suruh', 'siapa', 'jadi', 'dukung', 'lah', 'jd', 'lansia', 'presiden', 'udh', 'sapa']","['lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden', 'suruh siapa jadi presiden']"
29,54,29_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
30,54,30_akalakalan_merangkap_dprd_jubir,"['akalakalan', 'merangkap', 'dprd', 'jubir', 'pilkada', 'lewat', 'menlu', 'ketus', 'tampang', 'tedy']","['menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd']"
31,53,31_pembenci_mohon_maaf_bagi,"['pembenci', 'mohon', 'maaf', 'bagi', 'para', 'presiden', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
32,52,32_aja_ganti_ga_kalo,"['aja', 'ganti', 'ga', 'kalo', 'jadi', 'kan', 'gitu', 'muka', 'nyalon', 'gamau']","['presiden ga fungsi ganti aja ganti', 'wo kalo ga sanggup ngurus aceh lepas aja dan kalo ga sanggup jadi presiden mundur aja', 'kalo bapak gua jadi presiden jg bisa gua ini ngomong kek gini gausah jadi presiden dah masih idup aja udh syukur guaa']"
