full_text,created_at,full_text_preprocessed,Topik
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:39:50+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:41:48+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:42:48+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:44:35+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:45:06+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:45:14+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:05:26+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:08:25+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:09:33+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:11:15+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:20:13+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:23:54+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:24:05+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:30:03+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:31:01+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:34:06+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:38:33+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:40:28+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:40:50+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:44:16+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 02:51:31+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:04:15+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:06:10+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:06:37+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:23:57+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:28:16+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:31:52+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 03:46:36+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:01:54+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:04:10+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:05:44+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:08:07+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:24:06+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:25:46+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:28:42+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:31:22+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:33:52+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 04:56:20+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 05:11:29+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 05:23:55+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 05:35:59+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 05:43:20+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 05:53:21+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:02:36+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:06:22+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:08:22+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:33:30+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:35:34+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:43:48+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:49:36+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 06:50:14+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 07:08:08+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 07:15:12+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 07:33:00+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 07:37:20+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 08:21:14+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 08:42:08+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 08:46:34+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 09:00:33+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 09:04:54+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 09:32:03+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 09:40:57+00:00,mohon maaf pembenci presiden,6
