conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
2.000392181165732e+18,Mon Dec 15 05:11:02 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Oh tentu tydack mungkin Bu. Sama saja menutup perusahaannya sendiri beliau . Memang ini kan tujuan dia berkuas agar bisnis lancar car caaar bebas hambatan ,2.000433394027725e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000433394027725172,72765244.0,,
2.000392181165732e+18,Mon Dec 15 11:55:49 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Kasih paham bu.. harusnya ibu sih yg jadi presiden,2.000535262024385e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000535262024384913,2539477550.0,,
2.000392181165732e+18,Mon Dec 15 04:21:41 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Bukan nya anak perusahaan beliau juga terlibat #Ups,2.000420975054304e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000420975054303655,1.956341304063103e+18,,
2.000392181165732e+18,Mon Dec 15 05:50:19 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Benar Bu..sudah saat ny Indonesia utk waktu yg cukup lama hentikan proyek deforestasi.. Tanam kembali hutan2 yg udh gundul.. Perlu waktu 30 Thun lebih utk pohon yg akar ny bisa mencegah longsor dan menyimpan cadangan air..,2.000443280396632e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000443280396632181,1.3928589589776384e+18,,
2.000392181165732e+18,Mon Dec 15 04:53:35 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Ini sampai Bu Susi loh yang nge-tweet apakah akan terdengar didengar dilaksanakan atau...mmmmmmmmmmmmmmmm,2.000429006483784e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000429006483784021,274454514.0,,
2.000392181165732e+18,Mon Dec 15 06:10:54 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,2.000448459804144e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000448459804144095,1.908498193010336e+18,,
2.000392181165732e+18,Mon Dec 15 09:02:54 +0000 2025,1.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,2.00049174523111e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000491745231110238,1.3365763869877903e+18,,
2.000392181165732e+18,Mon Dec 15 08:12:58 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,2.0004791823050345e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000479182305034576,1.9056052586442588e+18,,
2.000392181165732e+18,Mon Dec 15 05:15:10 +0000 2025,6.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,2.000434434554929e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000434434554929532,8.814897557827912e+17,,
2.000392181165732e+18,Mon Dec 15 03:24:02 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,2.0004064696873e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000406469687300131,99844988.0,,
