full_text_comments,full_text_comments_preprocessed
@ARSIPAJA Apalah arti kunjungan kalo bantuan lambat? Ada yg 12 hari blm dpt bantuan skrg 3 daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya,apalah arti kunjungan bantuan lambat blm dpt bantuan skrg daerah mengibarkan bendera putih bantuan internasional krn lambatnya pemerintah berjalan puluhan kilometer beras utk keluarganya
@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,pergi settingan kondisi asli
@ARSIPAJA @kompascom udah jadi penyepong biji satu,penyepong biji
@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,amankan tautannya artefak bersejarah wkwk
. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,doesn chase viral moments creates them calm precise and surgical makes space for honesty era allergic nuance whether sitting with rappers whatever career kim currently pursuing brings the same patience and the confidence
@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,kaitannya jurnalis kompas disuruh hapus liputan bencana kemarin wkwk narasi jilat total maju koprol bareng gelondongan kayu
@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,membaca dibaca artikelnya
@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,kualitas jurnalisnya aturan mainnya emang hrs bagus
@ARSIPAJA @kompascom @KompasTV penyepong penguasa,penyepong penguasa
@ARSIPAJA hmm https://t.co/M0sXxjEAYO,hmm
@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,kemaren sekilas headline berita bilang reporter komps dipaksa hapus bukti foto video ttg kerusakan bencana aceh wkwkwk
@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,haha kompas heran berani spill perusahaan pembabatan hutan penyebab hutan rusak jamin berani
@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,baca poin poin poin penangkapan pelaku pembalakan liar terlibat tanggung
@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,bare minimum presiden turun drastis
@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,kayak kunjungan daerah dunia ketiga penug parade kasihan warga
@ARSIPAJA Orang2 kayak gini dikasih platform taikk,kayak gini dikasih platform taikk
@ARSIPAJA Buset,buset
