Topic,Count,Name,Representation,Representative_Docs
36,37,36_kamboja_thailand_donald trump_tppo,"['kamboja', 'thailand', 'donald trump', 'tppo', 'thailand kamboja', 'presiden amerika', 'konflik', 'korban tppo', 'kemenlu', 'gencatan senjata']","['presiden donald trump jumat mengklaim berhasil mendamaikan thailand kamboja kelanjutannya internasional adadikompas', 'menlu vietnam hoai trung keprihatinan perkembangan pelik perbatasan thailand kamboja melangsungkan pembicaraan menlu thailand sihasak phuangketkeow thailand minggu', 'menlu thailand sihasak phuangketkeow konferensi pers sabtu ranjau darat menewaskan personel militer thailand perbatasan thailand kamboja sengaja dipasang kamboja akibat kecelakaan selengkapnya']"
37,37,37_zon_fadli zon_fadli_komunis,"['zon', 'fadli zon', 'fadli', 'komunis', 'bahaya', 'partai', 'china', 'kemenlu', 'amerika', 'indonesia']","['fadli zon kemenlu amerika indonesia bahaya partai komunis china', 'fadli zon kemenlu amerika indonesia bahaya partai komunis china', 'fadli zon kemenlu amerika indonesia bahaya partai komunis china']"
38,37,38_nuklir_senjata_bukti_ambisi,"['nuklir', 'senjata', 'bukti', 'ambisi', 'kedaulatan', 'trump', 'venezuela', 'coba nuklir', 'uji coba', 'menlu rusia']","['dianggap gila ambisi nuklirnya masuk akal perlakuan trump pelanggaran kedaulatan venezuela bukti aturan internasional negara sumberdaya melimpah senjata nuklir nunggu dijajah', 'dianggap gila ambisi nuklirnya masuk akal perlakuan trump pelanggaran kedaulatan venezuela bukti aturan internasional negara sumberdaya melimpah senjata nuklir nunggu dijajah', 'dianggap gila ambisi nuklirnya masuk akal perlakuan trump pelanggaran kedaulatan venezuela bukti aturan internasional negara sumberdaya melimpah senjata nuklir nunggu dijajah']"
39,34,39_pakistan rusia_meninjau bencana_rusia presiden_pakistan,"['pakistan rusia', 'meninjau bencana', 'rusia presiden', 'pakistan', 'agenda', 'rusia', 'negara hadir', 'presiden prabowo', 'menuntaskan kunjungan', 'rusia aceh']","['aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir']"
40,34,40_listrik_aliran listrik_seminggu_pemulihan listrik,"['listrik', 'aliran listrik', 'seminggu', 'pemulihan listrik', 'banjir', 'jaringan listrik', 'listrik presiden', 'wilayah terdampak', 'pulihkan listrik', 'listrik nyala']","['presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik normal persen secepatnya wilayah terdampak bencana banjir bandang sumatera presiden prabowosubianto listrik aceh idola smg indonesia', 'presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik normal persen secepatnya wilayah terdampak bencana banjir bandang sumatera presiden prabowosubianto listrik aceh idola smg indonesia', 'presiden prabowo subianto pemulihan aliran listrik daerah bencana pekerjaan ringan sekejap menargetkan pemulihan aliran listrik normal persen secepatnya wilayah terdampak bencana']"
41,33,41_saudi_ironis selamat_arabia dipojokkan_arabia,"['saudi', 'ironis selamat', 'arabia dipojokkan', 'arabia', 'ahlanwasahlanibhrs', 'hrs saudi', 'hukum habib', 'kriminal memalukan', 'memalukan indonesia', 'saudi arabia']","['reynhard inggris super kriminal memalukan indonesia bantuan hukum habib rizieq shihab hrs saudi arabia dipojokkan pernyataan menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal memalukan indonesia bantuan hukum habib rizieq shihab hrs saudi arabia dipojokkan pernyataan menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal memalukan indonesia bantuan hukum habib rizieq shihab hrs saudi arabia dipojokkan pernyataan menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs']"
42,32,42_gimana kerja_kerja_percaya kerja_kerja enak,"['gimana kerja', 'kerja', 'percaya kerja', 'kerja enak', 'kerja udh', 'enaknya', 'optimis', 'kerja keras', 'hasil', 'percaya']","['salah kementrian kinerjanya bagus kemenlu gimana kerja', 'salah kementrian kinerjanya bagus kemenlu gimana kerja', 'salah kementrian kinerjanya bagus kemenlu gimana kerja']"
43,32,43_kesehatan presiden_presiden prabowo_positif_jaga kesehatan,"['kesehatan presiden', 'presiden prabowo', 'positif', 'jaga kesehatan', 'hidup sehat', 'gratis presiden', 'skrining gratis', 'presiden', 'posko kesehatan', 'kepedulian presiden']","['program cek kesehatan gratis salah program quick win presiden prabowo subianto menyasar juta masyarakat sehatbersama kesehatanuntuksemua indonesiapeduli pemeriksaangratis', 'cek kesehatan gratis digagas presiden prabowo mudahkan generasi peduli kesehatan', 'program cek kesehatan gratis salah program quick win presiden prabowo subianto menyasar juta masyarakat sehatbersama kesehatanuntuksemua indonesiapeduli pemeriksaangratis']"
44,31,44_bantuan presiden_kasih presiden_semuatanganibencana bantuan_presiden cair,"['bantuan presiden', 'kasih presiden', 'semuatanganibencana bantuan', 'presiden cair', 'terimakasih', 'presiden semoga', 'presiden semuatanganibencana', 'presiden huniankorbanbencana', 'presiden', 'terimakasih presiden']","['terima kasih presiden semoga masyarakat terdampak bangkit semuatanganibencana', 'terima kasih presiden semoga masyarakat terdampak bangkit penanganan cepat respect semuatanganibencana', 'terima kasih presiden semoga masyarakat terdampak bangkit penanganan cepat respect semuatanganibencana']"
45,30,45_presiden diculik_presiden menculik_info presiden_diculik cari,"['presiden diculik', 'presiden menculik', 'info presiden', 'diculik cari', 'cari info', 'diculik', 'cari', 'menculik', 'menculik presiden', 'presiden']","['presiden diculik cari info presiden menculik', 'presiden diculik cari info presiden menculik', 'presiden diculik cari info presiden menculik']"
