full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo O. T. A. K. !! Repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya. Mo sampe modyar ya tetep serakah!!,repot klo org duduk perintah mikirin rakyat mikir penting kelg sampe modyar tetep serakah
@susipudjiastuti @prabowo brarti sebelumnya gk ditertibkan ,brarti tertib
@susipudjiastuti @prabowo Tak bisa tawar menawar Selamatkan hutan alam Indonesia utk kebaikan keberlangsungan kehidupan. Alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk Masyarakat Flora Fauna disekitar.,tawar tawar selamat hutan alam indonesia utk baik langsung hidup alam anugrah jaga rusak rusak alam rugi utk masyarakat flora fauna sekitar
@susipudjiastuti @prabowo SAAT MASIH KONFLIK DI ACEH HUTANNYA AMAN!!! KL KATA2 WOWOK BISA DIPERCAYA TAEK KUCINGPUN BISA JADI EMAS!!!,konflik aceh hutan aman wowok percaya taek kucing emas
@susipudjiastuti @prabowo Negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat. Pencitraan makin menonjol solusinya gaje alias ga jelas,negeri sdh arah hancur pimpin tdk jujur rakyat citra tonjol solusi gaje alias
@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangkap maling?? @prabowo,lha buanyaak bgt gmana maling tangkap maling
@susipudjiastuti @prabowo Segilintir org yg untung dn punya kuasa. Yg menderita ya Rakyat! Klo begini apa guna Pancasila si bagi mereka yg punya kuasa sampah x ya?,segilintir org untung kuasa derita rakyat klo pancasila kuasa sampah
@susipudjiastuti @prabowo Setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit ,tuju bangett tinggal sumbar jujur sangatt prihatin gundul hutan bukit
@susipudjiastuti @prabowo Yang rugi kan negara para pembesarnya mana ada rugi..untung teroooss..emang daridulu negara settingannya selalu rugi..klo untung mah mana nimbun utang..aya..aya..wae...,rugi negara besar rugi untung teroooss emang daridulu negara settingannya rugi klo untung nimbun utang aya aya wae
@susipudjiastuti @prabowo https://t.co/xtmQoyXOxX Kami sudah menyerah bu ,serah
@susipudjiastuti @prabowo Perkebunan sawit dimana2 merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka,kebun sawit rusak alam ironis minyak mahal langka
@susipudjiastuti @prabowo Paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran. Biarin sawit tetap ditanam toh negara juga perlu income.,konsultan lingkung rekomendasi jujur jalan jujur biarin sawit tanam negara income
@susipudjiastuti @prabowo Apa masih terdengar dan di dengar Bu mau optimis pun susah mau percaya 10 Perusahaan itu ,dengar dengar optimis susah percaya usaha
@susipudjiastuti @prabowo Ibu tidak berjuang dari dalam. Lebih baik sampaikan ke @kikysaputrii yang berjuang dr dalam. Biarkan dia yg sampaikan ke pak prabowo.,juang juang biar prabowo
@susipudjiastuti @prabowo Tangkap Pelakunya dan Adili dengan Benar beres semua .. Keberanian Presiden di Uji ..,tangkap laku adil beres berani presiden uji
@susipudjiastuti @prabowo Bu Susi bukankah presiden nya ga bisa baca? Saudara kami di Aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan,sus presiden baca saudara aceh sulit air bersih bahan pangan langka lapar listrik padam serba kurang
@susipudjiastuti @prabowo Jangan berharap banyak agar tidak kecewa untuk status Bencana Nasional saja keberatan,harap kecewa status bencana nasional berat
@susipudjiastuti @prabowo Masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan? ,iya tweet sus rasi bubble memyenangkan
@susipudjiastuti @prabowo Ga bakal didengerin Bu.. Pola nya masih sama seperti pemerintah 10 thn lalu ga peduli nyawa manusia Indonesia dan pura-pura tuli,didengerin pola perintah thn peduli nyawa manusia indonesia pura pura tuli
@susipudjiastuti @prabowo Stop dulu semua penebangan sampai waktu yg belum ditentukan,stop tebang tentu
@susipudjiastuti @prabowo Seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak,dri rusa ambil putus bijak
@susipudjiastuti @prabowo https://t.co/vYNxd8G52p,
@susipudjiastuti @prabowo G akan tersampaikan bu ho pak prabowo nokia 3310,prabowo nokia
@susipudjiastuti @prabowo Jadi kieu Bu eta lahan sawit teh loloba na anu urang jadi lamun STOP penebangan uing rugi mangkana dipilah we antara legal jeung ilegal,kieu eta lahan sawit teh loloba urang lamun stop tebang uing rugi mangkana pilah legal jeung ilegal
@susipudjiastuti @prabowo bu sepertinya pejaba² ini udah ga mau denger.. sebenarnya kita ini sebagai apa di Indonesia ,pejaba udah denger indonesia
@susipudjiastuti @prabowo Nanti bisnis @prabowo lumpuh dong bu? Kan niat jadi presiden emang buat bisnisnya dia.,bisnis lumpuh niat presiden emang bisnis
@susipudjiastuti @prabowo Ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok² Dan sekarang juga lagi ngelakuin hal sama ke salah 1 gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama?,salah akibat dri orang bantu kampanye sempe pelosok ngelakuin salah gub jawa takut orang
@susipudjiastuti @prabowo Udah ga ada yg bisa diharapkan dari Mr. Omon omon bu,udah harap omon omon
@susipudjiastuti @prabowo rajanya omon omon bawahan bilang a percaya aja.,raja omon omon bawah bilang percaya
@susipudjiastuti @prabowo Setuju... Stop sekarang juga,tuju stop
@susipudjiastuti @prabowo Ini spt jeruk makan jèruk,spt jeruk makan ruk
@susipudjiastuti @prabowo Berharap boleh saja Bu tapi Ibu berharap pada pemimpin yg salah,harap harap pimpin salah
@susipudjiastuti @prabowo Gak sampai ke telingganya bun gmana diA mau dengar,telingganya bun gmana dengar
@susipudjiastuti @prabowo mereka tunarungu bu,tunarungu
@susipudjiastuti @prabowo Ibu kira bapak berani? Saya kira bapak ga akan pernah seberani itu bu ,berani berani
@ARSIPAJA Habis di bredel langsung menjilat ....najiiss https://t.co/rZ3uWAtC0E,habis bredel langsung jilat najiiss
@ARSIPAJA Sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja Jawa. Karena raja Jawa lambang kerakusan ketamakan keculasan.,sebenernya benci prabowonya dukung hubung raja jawa raja jawa lambang rakus tamak culas
@ARSIPAJA Bhaaapppp kok tulisan WARTAWAN https://t.co/BciisdjLKY,bhaaapppp tulis wartawan
@ARSIPAJA @kompascom klean jadi tim media istana aja jing jilat presiden mulu lah taii!,klean tim media istana jing jilat presiden mulu taii
@ARSIPAJA Sama tim redaksinya @kompascom disebut ga kalau perusahaannya Prabowo turut andil dalam terciptanya malapetaka di Aceh?,tim redaksi usaha prabowo andil cipta malapetaka aceh
@ARSIPAJA @prabowo omon2 macan ompong memble mau aj dikibulin sama TERMUL,omon macan ompong memble dikibulin termul
@ARSIPAJA kompas salah satu kumpulan berita buzzer,kompas salah kumpul berita buzzer
@ARSIPAJA Jaya Suprana mending edit dah pake bahasa yg netral Buruan jaya Suprana keburu nama lu dicari terus dirujak netizen,jaya suprana mending edit dah pake bahasa netral buru jaya suprana keburu nama cari rujak netizen
@ARSIPAJA hah kompas dikasih rels begini dapat berapa ratus juta mereka ya,hah kompas kasih rels ratus juta
@ARSIPAJA Kompas loh.... Bikin berita atau siaran pers kehumasan instansi? Wkwkwkwk,kompas bikin berita siar pers humas instansi wkwkwkwk
@ARSIPAJA Sy pengritik ... Kompas sdh jauh dibawah standar.. dulu langganan harian Kompas skrg baca onlinenya jg dah males,pengritik kompas sdh bawah standar langgan hari kompas skrg baca onlinenya dah males
@ARSIPAJA Bentar bentar itu yang nulis emang Jaya Suprana???,bentar bentar nulis emang jaya suprana
@ARSIPAJA Media mainstream kok narasinya gini bgt mending jd buzzer aja anjir,media mainstream narasi gin bgt mending buzzer anjir
@ARSIPAJA #nooticing https://t.co/vnAELwWdzH,nooticing
@ARSIPAJA Saya tidak membenci president.. Saya hanya tidak suka kesalahan yang tidak di akui ditutup2i tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma.. Jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran..,benci president salah aku tutup baik parah kalo sekongkol bunuh nilai moral norma jgn rawan bela presiden sblmny buta nilai benar
@ARSIPAJA @BP_Kaskus gak heran kompas sejak jaman mulyono,heran kompas jaman mulyono
@ARSIPAJA Opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri,opini isi jilatin kuasa jaya suprana ngurusin muri
@ARSIPAJA Ikan busuk dari apanyaa ??? . Kepala nyaa,ikan busuk apanyaa kepala nyaa
@ARSIPAJA Pendukungnya udah mulai pada gila (emang ga pernah waras dari awal si) udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya,dukung udah gila emang waras udah banget kaya benci rezim personal
@ARSIPAJA Njir kompas memelihara penulis berita kek gini?,njir kompas pelihara tulis berita kek gin
@ARSIPAJA Tunjangan Akhir Tahun dikucurkan ada penjahat butuh polesan tebal https://t.co/W3nXPrHf0T,tunjang kucur jahat butuh poles tebal
@ARSIPAJA Apalah arti kunjungan kalo bantuan lambat? Ada yg 12 hari blm dpt bantuan skrg 3 daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya,apa arti kunjung kalo bantu lambat blm dpt bantu skrg daerah kibar bendera putih bantu internasional krn lambat perintah jalan puluh kilometer beras utk keluarga
@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,pergi settingan kondisi asli
